datetime,open,high,low,close,volume
1638392400000,56768.8,57022.1,56450.0,56980.7,392.77137459
1638396000000,56980.8,57120.6,56631.8,57056.6,401.02322787
1638399600000,57056.7,57238.3,56976.6,57176.8,276.67653858
1638403200000,57176.9,57189.3,56682.8,57009.7,756.55970035
1638406800000,57009.8,57378.5,56788.8,57210.8,573.47741921
1638410400000,57210.8,57230.7,56837.4,56947.7,424.91779705
1638414000000,56947.7,56950.5,55768.0,56308.4,1526.21727298
1638417600000,56307.7,56669.4,56222.4,56486.5,823.85439507
1638421200000,56486.6,56958.0,56471.0,56896.4,733.0033249
1638424800000,56896.4,56896.5,56357.3,56647.3,632.64645919
1638428400000,56653.7,56949.0,56601.2,56808.8,271.50273485
1638432000000,56808.9,57174.7,56748.0,56947.9,304.33749193
1638435600000,56948.0,57075.4,56588.7,56683.3,443.73687535
1638439200000,56683.4,56798.3,56438.2,56548.3,351.8389589
1638442800000,56548.2,56613.4,56075.3,56308.6,556.53948122
1638446400000,56308.6,56584.9,56025.0,56531.8,406.78778602
1638450000000,56531.7,56620.8,56069.3,56471.9,346.15386271
1638453600000,56458.8,57186.7,56322.3,57105.4,452.29138074
1638457200000,57105.3,57372.3,56124.1,56499.8,669.72127324
1638460800000,56509.9,56717.0,56013.6,56328.6,453.66844823
1638464400000,56328.6,56666.1,56266.0,56576.0,277.93231697
1638468000000,56576.0,56740.3,56130.1,56708.1,280.84321891
1638471600000,56711.8,56937.0,56507.6,56608.8,312.24532057
1638475200000,56611.6,57217.5,56542.7,57018.2,353.63548704
1638478800000,57024.5,57032.1,56774.4,56856.1,218.22173229
1638482400000,56858.6,56939.9,56600.8,56846.1,228.4832923
1638486000000,56846.2,56904.8,56357.3,56485.2,262.95629145
1638489600000,56485.2,56762.3,56419.6,56523.7,727.08238543
1638493200000,56523.2,56707.5,56384.1,56500.1,728.19466617
1638496800000,56500.2,56571.3,56075.8,56259.9,832.02148847
1638500400000,56259.9,56527.9,56100.0,56320.7,616.87352326
1638504000000,56320.6,56685.9,56258.6,56592.9,593.95498802
1638507600000,56592.9,57044.4,56419.6,56738.0,791.10001967
1638511200000,56738.0,56965.7,56680.0,56849.6,396.36839401
1638514800000,56850.4,56940.4,56635.9,56733.4,505.49029218
1638518400000,56741.9,56799.9,56471.1,56578.8,335.94057296
1638522000000,56578.9,56848.5,56433.0,56822.8,286.6919513
1638525600000,56822.8,57321.5,56666.6,56842.3,708.53330074
1638529200000,56842.3,57177.4,56796.4,56971.9,316.23508853
1638532800000,56971.9,57186.6,56753.7,56787.7,294.2106529
1638536400000,56787.7,57617.8,56743.8,56866.3,704.82166037
1638540000000,56866.3,56920.2,56163.8,56236.8,561.02577903
1638543600000,56226.1,56340.7,55722.8,55962.4,653.58350757
1638547200000,55962.4,55965.5,54850.6,54983.7,1219.09194987
1638550800000,54984.2,55075.9,54585.8,54970.3,535.20950141
1638554400000,54970.4,55140.8,54412.2,54871.1,547.71785952
1638558000000,54873.0,54908.6,53730.6,53825.4,779.81358553
1638561600000,53825.4,54035.1,51419.5,53445.7,6252.85642084
1638565200000,53445.7,54050.8,53340.1,53608.4,614.13433277
1638568800000,53606.7,53716.1,53039.2,53402.6,529.05183738
1638572400000,53402.6,53823.7,53341.9,53609.2,409.20426151
1638576000000,53599.3,53849.9,53000.0,53039.4,1132.01183019
1638579600000,53039.4,53187.8,52633.0,52982.7,1407.54358118
1638583200000,52982.6,53112.8,52710.3,53112.8,624.15139385
1638586800000,53112.8,53112.8,52000.0,52000.5,1058.78256095
1638590400000,52000.4,52597.7,49000.0,50255.3,5355.96551074
1638594000000,50255.4,50532.0,41241.7,47508.3,16145.21241226
1638597600000,47508.2,47990.2,46734.2,47476.2,2945.58439655
1638601200000,47476.3,47561.4,46613.3,47218.7,2087.23953626
1638604800000,47218.7,47896.0,46963.3,47498.6,873.59286313
1638608400000,47498.6,47672.9,47275.0,47470.0,1087.33474508
1638612000000,47469.9,47587.5,46808.1,47376.7,593.45478818
1638615600000,47376.7,47395.6,46133.6,46495.6,1034.11076019
1638619200000,46495.5,47540.0,46495.5,47055.0,709.9545115
1638622800000,47055.0,47419.3,46750.7,47378.5,613.03561021
1638626400000,47378.6,47844.2,47253.3,47814.7,674.25262394
1638630000000,47814.7,48520.0,47741.1,48191.1,976.77784512
1638633600000,48191.2,48468.5,47768.6,47855.4,1164.59455244
1638637200000,47855.3,48383.4,47791.0,48245.5,460.25372419
1638640800000,48235.9,48868.9,48161.2,48859.5,606.44028
1638644400000,48859.5,49432.4,48620.4,49260.7,317.28220799
1638648000000,49260.8,49474.5,48979.5,49254.7,257.167503
1638651600000,49254.7,49347.2,48508.2,48694.7,385.57301769
1638655200000,48694.7,49275.0,48610.3,49212.0,215.83555867
1638658800000,49212.1,49488.4,48825.0,49159.7,312.65339136
1638662400000,49159.7,49701.5,48333.4,48947.9,1590.04844123
1638666000000,48947.8,49235.0,48669.2,49029.5,773.46110865
1638669600000,49017.3,49106.2,48796.2,49051.5,899.50053243
1638673200000,49046.8,49366.0,48840.1,49168.3,588.64469787
1638676800000,49168.3,49249.3,48826.1,48950.8,433.37360547
1638680400000,48949.6,49431.3,48859.5,49418.9,310.99564173
1638684000000,49418.9,49599.7,49230.8,49468.1,310.30016086
1638687600000,49468.1,49666.0,49239.4,49295.0,294.22279505
1638691200000,49294.3,49563.6,49157.5,49474.0,155.17383998
1638694800000,49474.0,49474.1,48721.6,49002.1,321.00236674
1638698400000,49002.1,49409.8,48843.6,49238.9,238.19717478
1638702000000,49238.9,49384.3,48990.0,49244.6,170.91654684
1638705600000,49238.6,49669.6,49070.1,49378.5,418.24559099
1638709200000,49378.5,49429.6,49139.0,49293.9,198.82238389
1638712800000,49294.0,49337.3,48797.5,48930.9,554.07064347
1638716400000,48930.9,49102.7,47741.9,47952.5,999.98618085
1638720000000,47957.8,48796.2,47894.9,48484.4,1075.31540008
1638723600000,48484.3,49313.6,48375.0,49250.1,548.81609444
1638727200000,49250.1,49337.9,49072.0,49089.5,229.05265163
1638730800000,49089.5,49128.0,48289.3,48902.0,354.06057272
1638734400000,48902.1,49024.8,48532.6,48810.8,188.75204371
1638738000000,48810.8,49213.8,48502.5,49152.0,236.43300512
1638741600000,49155.4,49228.5,48768.2,49217.3,291.43173944
1638745200000,49217.3,49521.5,49015.2,49393.5,258.07459174
1638748800000,49393.5,49436.9,48401.6,48749.2,820.06363853
