datetime,open,high,low,close,volume
1637676000000,0.0032515,0.0032675,0.003234,0.0032627,1888979016.138742
1637679600000,0.0032622,0.0032652,0.003238,0.0032461,1470631770.695968
1637683200000,0.0032461,0.0032723,0.0032383,0.003258,1884776341.534079
1637686800000,0.003258,0.0032683,0.0032446,0.0032527,1136591121.663472
1637690400000,0.0032527,0.0032603,0.0032372,0.0032445,1129493237.055268
1637694000000,0.0032444,0.003265,0.0032346,0.0032611,3276849412.06097
1637697600000,0.0032611,0.0032664,0.0032475,0.0032661,1380994621.107772
1637701200000,0.003266,0.0033322,0.0032615,0.003303,2356946566.291439
1637704800000,0.0033036,0.0033079,0.0032754,0.0032784,1524624977.953752
1637708400000,0.0032783,0.003297,0.0032768,0.0032885,1532470233.813622
1637712000000,0.0032886,0.0032914,0.003275,0.003277,1703333446.480964
1637715600000,0.0032771,0.0032891,0.0032517,0.0032527,2079506262.019622
1637719200000,0.0032528,0.0032583,0.0032261,0.0032315,2448639061.812372
1637722800000,0.0032313,0.0032361,0.0032212,0.0032232,2194634596.926098
1637726400000,0.0032232,0.0032437,0.0032231,0.003236,1972408928.819846
1637730000000,0.0032357,0.0032438,0.00322,0.0032305,2132128529.210158
1637733600000,0.0032304,0.003234,0.003205,0.0032272,1594855803.77303
1637737200000,0.0032271,0.0032324,0.0032144,0.0032301,1689969154.340896
1637740800000,0.0032304,0.0032566,0.0032142,0.003234,1459658703.692326
1637744400000,0.003234,0.0032455,0.0032192,0.0032215,1929188124.308309
1637748000000,0.0032217,0.003229,0.0032065,0.0032114,1964933754.117928
1637751600000,0.0032121,0.0032296,0.0032072,0.0032184,1606876601.794844
1637755200000,0.0032186,0.0032286,0.0032081,0.0032158,989285491.420217
1637758800000,0.0032157,0.0032247,0.0031689,0.0031741,3452717354.677101
1637762400000,0.0031742,0.003189,0.00313,0.0031619,2808934386.859636
1637766000000,0.0031618,0.003217,0.003158,0.0032135,2367421565.594209
1637769600000,0.0032134,0.0032173,0.0031579,0.0031688,2068958485.356585
1637773200000,0.0031688,0.0031792,0.0031408,0.0031434,1274060571.972446
1637776800000,0.003143,0.0031693,0.0031429,0.003161,1935159572.619777
1637780400000,0.003161,0.0031662,0.0031374,0.0031473,922558848.109971
1637784000000,0.0031471,0.0031864,0.003129,0.0031718,1068869485.095157
1637787600000,0.0031713,0.0031876,0.0031635,0.0031819,1474098852.101971
1637791200000,0.0031819,0.0031918,0.0031754,0.0031897,3144215934.974011
1637794800000,0.0031896,0.0031982,0.0031793,0.0031841,2475593132.413168
1637798400000,0.0031836,0.003219,0.0031604,0.0032055,1378830278.324463
1637802000000,0.0032062,0.0032259,0.0032023,0.0032063,2036580945.842171
1637805600000,0.0032061,0.0032189,0.003206,0.0032115,1674060077.944922
1637809200000,0.0032114,0.0032275,0.0032056,0.0032245,1310202977.919781
1637812800000,0.0032245,0.0032264,0.0032008,0.0032055,1036699300.066033
1637816400000,0.0032055,0.0032097,0.003192,0.0031954,1879657443.00777
