datetime,open,high,low,close,volume
1633377600000,0.0034612,0.0034637,0.0034159,0.0034238,438113558.651991
1633381200000,0.0034214,0.0034407,0.0034113,0.0034258,145405361.911093
1633384800000,0.003426,0.0034378,0.003407,0.0034311,150018894.829607
1633388400000,0.0034287,0.0034854,0.0034276,0.0034566,244757820.060047
1633392000000,0.003459,0.0034996,0.0034387,0.0034893,255305985.446292
1633395600000,0.0034909,0.003504,0.0034513,0.0034542,218051941.71469
1633399200000,0.0034533,0.003469,0.0034391,0.0034643,108522429.629328
1633402800000,0.0034657,0.0034799,0.0034593,0.0034797,128757957.715824
1633406400000,0.0034799,0.0034817,0.0034503,0.0034547,106544708.957412
1633410000000,0.0034538,0.0036442,0.0034504,0.0035872,1673840481.660433
1633413600000,0.0035924,0.0036478,0.0035828,0.0036061,855826908.17639
1633417200000,0.0036092,0.0036277,0.0035862,0.00359,442753923.291667
1633420800000,0.0035878,0.0035953,0.0035608,0.003589,474988315.840991
1633424400000,0.0035888,0.0035944,0.0035325,0.0035798,462192058.836276
1633428000000,0.0035784,0.0036073,0.0035566,0.003568,299960924.331953
1633431600000,0.0035686,0.0035858,0.0035521,0.0035549,209041633.67649
1633435200000,0.0035546,0.003624,0.0035534,0.0035943,525469483.762479
1633438800000,0.003594,0.0037137,0.0035909,0.0036457,919997922.909072
1633442400000,0.0036457,0.0036611,0.0035115,0.0035523,688505684.536604
1633446000000,0.0035524,0.0035703,0.0035238,0.0035566,404417010.343359
1633449600000,0.0035576,0.003615,0.0035484,0.0036121,336268698.146641
1633453200000,0.0036151,0.0036626,0.0035955,0.0036101,610827479.600833
1633456800000,0.0036102,0.0036455,0.0036078,0.0036239,264747994.422456
1633460400000,0.0036241,0.0036771,0.0036183,0.0036638,355012834.52145
1633464000000,0.0036671,0.0038688,0.0036468,0.0038035,2552138197.021014
1633467600000,0.0038047,0.0038118,0.0037305,0.0037612,791692652.581483
1633471200000,0.0037609,0.0037618,0.003706,0.0037167,400675604.745276
1633474800000,0.0037149,0.003751,0.0037102,0.0037249,340605369.212223
1633478400000,0.0037254,0.0038054,0.0036848,0.0036962,620277284.041859
1633482000000,0.0036963,0.0036963,0.003654,0.003694,198929125.115311
1633485600000,0.0036927,0.0036964,0.0036544,0.0036807,253341585.135312
1633489200000,0.0036802,0.0036843,0.0036444,0.0036525,218727933.103405
1633492800000,0.0036491,0.0036607,0.0036169,0.0036303,361114488.027151
1633496400000,0.0036302,0.0036519,0.0036088,0.0036425,289065748.622478
1633500000000,0.0036434,0.0036808,0.0036368,0.0036513,393069518.18885
1633503600000,0.00365,0.0036602,0.0035878,0.0036113,506159057.745788
1633507200000,0.0036118,0.003622,0.0034534,0.0034788,925780301.57784
