datetime,open,high,low,close,volume
1634810400000,0.0038447,0.0038499,0.0038119,0.0038291,804998737.625728
1634814000000,0.0038285,0.0038662,0.0037347,0.0037594,1008458269.419033
1634817600000,0.0037595,0.0037783,0.003718,0.0037759,874420433.49792
1634821200000,0.0037763,0.0038013,0.0037616,0.0037627,1447133790.18549
1634824800000,0.0037626,0.003781,0.0036884,0.0036942,1030630749.645835
1634828400000,0.0036936,0.0037083,0.0036174,0.0036768,2407129826.970599
1634832000000,0.003676,0.0036993,0.0036516,0.0036516,2427555527.188397
1634835600000,0.0036527,0.0036867,0.0036413,0.0036428,260608524.857647
1634839200000,0.003645,0.0036848,0.003645,0.0036578,250652573.198678
1634842800000,0.0036578,0.0036933,0.0036546,0.0036628,198239148.67
1634846400000,0.0036611,0.0036728,0.0036474,0.0036629,341190056.065107
1634850000000,0.0036633,0.0036911,0.0036611,0.0036837,173852582.735905
1634853600000,0.0036832,0.0036889,0.0036461,0.0036482,157690772.223985
1634857200000,0.0036483,0.0036658,0.0036297,0.0036365,226847195.390365
1634860800000,0.003636,0.0036779,0.0036267,0.0036726,1356123718.179295
1634864400000,0.0036716,0.0036949,0.0036658,0.0036683,215111941.007965
1634868000000,0.0036679,0.0036878,0.0036664,0.003677,210223010.617648
1634871600000,0.0036783,0.0037365,0.0036783,0.0037249,2053817750.158933
1634875200000,0.0037251,0.0037258,0.003694,0.0037054,8165255929.079174
1634878800000,0.0037055,0.0037218,0.0036942,0.0037197,10584228233.816694
1634882400000,0.0037196,0.0037308,0.0036987,0.0037079,6747981533.541522
1634886000000,0.0037072,0.003743,0.0037072,0.0037309,6788543417.001325
1634889600000,0.0037304,0.003744,0.0037219,0.003729,9284169952.053541
1634893200000,0.003729,0.0037332,0.0037002,0.003704,4106925568.882984
1634896800000,0.0037046,0.0037113,0.0036898,0.0037065,3161398797.406031
1634900400000,0.0037058,0.0037308,0.0037,0.0037171,6300718421.895658
1634904000000,0.0037174,0.0037202,0.0036982,0.0037123,15637000946.994616
1634907600000,0.0037124,0.0037152,0.003661,0.0036655,6404376365.952851
1634911200000,0.0036639,0.003666,0.0036215,0.0036586,712502072.579723
1634914800000,0.0036583,0.0036696,0.0036201,0.0036244,384386694.961458
1634918400000,0.0036244,0.0036445,0.0035767,0.0036399,514174666.734665
1634922000000,0.0036382,0.0036449,0.0036138,0.0036147,231903286.306592
1634925600000,0.0036139,0.0036428,0.0036112,0.0036318,230501387.643339
1634929200000,0.0036315,0.0036384,0.0036139,0.0036341,244728945.585128
1634932800000,0.0036333,0.0036451,0.0036267,0.0036332,221839640.748054
1634936400000,0.0036328,0.0036463,0.0036026,0.0036061,225775824.364448
1634940000000,0.0036069,0.0036383,0.003605,0.0036383,149736656.642214
1634943600000,0.0036365,0.0036551,0.0036336,0.0036548,233491432.357853
1634947200000,0.0036544,0.0036555,0.0036199,0.0036484,191797990.592269
1634950800000,0.0036492,0.0036497,0.0036317,0.003646,154074156.307362
1634954400000,0.0036446,0.0036539,0.0036424,0.0036525,118318131.137854
1634958000000,0.003653,0.0036709,0.0036388,0.0036679,257786672.023298
1634961600000,0.0036699,0.0036805,0.0036588,0.0036736,207729482.025775
1634965200000,0.0036754,0.0036795,0.0036461,0.0036502,172687830.476239
1634968800000,0.0036502,0.0036602,0.0036356,0.0036561,169069433.479396
1634972400000,0.003655,0.0036612,0.0036412,0.0036536,897019769.806355
1634976000000,0.0036538,0.0036649,0.00365,0.0036598,10259777720.871552
1634979600000,0.00366,0.0036635,0.0036231,0.0036373,16881044560.876534
1634983200000,0.0036373,0.0036491,0.0036138,0.0036157,5797484745.867185
1634986800000,0.0036148,0.0036543,0.0035958,0.0036532,10289271025.28984
1634990400000,0.0036551,0.00366,0.0036462,0.003647,5205776087.597356
1634994000000,0.0036472,0.0036493,0.0036349,0.0036428,11116633844.460894
1634997600000,0.0036425,0.0036585,0.0036411,0.0036448,4419430724.878784
1635001200000,0.0036443,0.0036734,0.0036381,0.0036619,5569667729.043832
1635004800000,0.0036619,0.0036812,0.003642,0.0036424,13660340686.577599
1635008400000,0.0036423,0.0036515,0.0036259,0.0036396,12497419285.81936
1635012000000,0.0036395,0.0036545,0.0036335,0.0036402,6590395772.747039
1635015600000,0.0036401,0.0036409,0.0036209,0.0036315,7147324230.930386
1635019200000,0.0036316,0.0036461,0.003625,0.0036459,5726335711.63204
1635022800000,0.003646,0.003652,0.0036361,0.0036411,10701580998.167704
1635026400000,0.003641,0.0036643,0.0036378,0.0036489,12688294106.672234
1635030000000,0.0036491,0.0036772,0.0036399,0.003677,11460173209.22845
1635033600000,0.0036773,0.003678,0.0036513,0.0036592,17945104999.068287
1635037200000,0.0036591,0.0036718,0.0036519,0.003659,1887080401.039491
1635040800000,0.0036589,0.0036733,0.00365,0.0036722,265073001.991284
1635044400000,0.003671,0.0036848,0.0036648,0.003682,315454730.567208
1635048000000,0.0036808,0.0036808,0.0036502,0.0036554,341824628.058879
1635051600000,0.0036557,0.0036617,0.0036416,0.0036521,1453817516.594048
1635055200000,0.0036521,0.0036557,0.0036304,0.0036356,1709030509.722635
1635058800000,0.0036357,0.0036395,0.0036161,0.0036382,1872632701.393223
1635062400000,0.0036383,0.0036425,0.0036249,0.003627,881212862.318026
1635066000000,0.0036273,0.0036604,0.003622,0.003646,653994778.561783
1635069600000,0.003646,0.0036732,0.0036444,0.0036572,2348885149.827331
1635073200000,0.0036568,0.0036587,0.0035999,0.0036036,1534080087.102312
1635076800000,0.0036031,0.0036189,0.0035833,0.0036073,1792218915.399909
1635080400000,0.0036073,0.003629,0.0036007,0.0036117,1587840491.085759
1635084000000,0.0036109,0.0036195,0.0035943,0.0035977,1314666173.958529
1635087600000,0.0035978,0.0036057,0.003558,0.0035687,2183854445.023872
1635091200000,0.0035688,0.0035955,0.0035455,0.003594,1034540329.414873
1635094800000,0.003594,0.0036025,0.00358,0.0035922,845651707.373701
1635098400000,0.0035922,0.0035922,0.0035264,0.0035483,1109969949.647789
1635102000000,0.003547,0.0035845,0.0035462,0.0035783,272903484.748017
1635105600000,0.0035785,0.0035859,0.0035603,0.0035785,224306904.924721
1635109200000,0.0035787,0.0035998,0.00357,0.0035874,253556824.496539
1635112800000,0.0035891,0.0036031,0.0035816,0.0035934,197940674.139186
1635116400000,0.0035939,0.0036091,0.0035845,0.0035988,225768308.450559
1635120000000,0.0035984,0.0036335,0.0035901,0.0036263,274564255.740992
1635123600000,0.0036266,0.0036441,0.0036219,0.0036389,164338294.50553
1635127200000,0.0036394,0.0036425,0.0036183,0.0036412,1406917421.039135
1635130800000,0.0036411,0.0036584,0.003641,0.0036475,1674139557.695965
1635134400000,0.0036473,0.0036554,0.00363,0.0036415,1184402595.632226
1635138000000,0.0036416,0.0036524,0.0036319,0.0036442,1815976034.02382
1635141600000,0.0036444,0.0036565,0.0036296,0.0036477,1238994646.149685
1635145200000,0.0036483,0.0036701,0.0036475,0.0036564,821721274.570387
1635148800000,0.003655,0.0036677,0.0036443,0.0036444,257301093.858884
1635152400000,0.0036443,0.0036552,0.0036347,0.0036411,194884732.247274
1635156000000,0.0036409,0.0036451,0.0036217,0.0036409,161947210.582188
1635159600000,0.0036411,0.0036502,0.0036294,0.0036394,153451626.550218
1635163200000,0.0036392,0.0036442,0.0036306,0.0036403,184839995.851406
1635166800000,0.0036403,0.0036564,0.0036275,0.0036539,151357307.498563
