datetime,open,high,low,close,volume
1638392400000,0.0031301,0.0031301,0.0030907,0.0031189,676329347.262561
1638396000000,0.0031166,0.0031357,0.0031097,0.0031272,412277106.083724
1638399600000,0.0031273,0.0031455,0.0031232,0.0031441,406901131.635866
1638403200000,0.0031412,0.0031481,0.0031046,0.0031206,512308219.495256
1638406800000,0.0031212,0.0031411,0.0031089,0.0031277,427699214.528362
1638410400000,0.003127,0.003132,0.0031072,0.0031259,4426947689.847619
1638414000000,0.0031258,0.003126,0.0030576,0.0030803,3184401608.760901
1638417600000,0.0030804,0.0030988,0.0030728,0.0030941,4574538186.652671
1638421200000,0.0030942,0.0031158,0.0030908,0.0031119,285067791.945321
1638424800000,0.003111,0.0031173,0.0030977,0.003108,231930357.19995
1638428400000,0.0031091,0.0031128,0.0030991,0.0031052,206715147.14789
1638432000000,0.0031051,0.0031214,0.0031012,0.003118,2237022075.820772
1638435600000,0.0031181,0.0031301,0.0031064,0.0031203,1613018304.108569
1638439200000,0.0031202,0.0031263,0.0030984,0.0031033,1807713124.487193
1638442800000,0.003103,0.0031078,0.0030814,0.0030953,627469476.129536
1638446400000,0.0030952,0.0031136,0.0030852,0.0031054,3096483359.359556
1638450000000,0.0031055,0.0031199,0.0030884,0.0031075,2358308954.41231
1638453600000,0.0031072,0.0031239,0.0030961,0.0031214,4038785196.449058
1638457200000,0.0031215,0.0031308,0.0030896,0.00311,2332118588.991568
1638460800000,0.0031105,0.0031173,0.0030881,0.0031055,2457656280.063536
1638464400000,0.0031055,0.0031292,0.0030967,0.0031279,2623694495.04002
1638468000000,0.0031289,0.0031621,0.0031208,0.0031383,1968828851.817747
1638471600000,0.0031382,0.00315,0.0031258,0.0031352,594403111.394027
1638475200000,0.0031374,0.0031645,0.0031298,0.0031596,218683722.994098
1638478800000,0.0031596,0.0032063,0.0031587,0.0031828,675901258.151016
1638482400000,0.0031828,0.0031828,0.00316,0.0031641,335662207.50246
1638486000000,0.0031641,0.0031642,0.0031355,0.0031385,268144317.888931
1638489600000,0.0031387,0.0031477,0.0031308,0.0031405,285226347.267647
1638493200000,0.0031402,0.0031516,0.0031194,0.0031257,1167586534.977825
1638496800000,0.0031257,0.0031329,0.0031039,0.0031144,1786108684.632136
1638500400000,0.0031164,0.0031338,0.003111,0.0031239,256928988.654519
1638504000000,0.003123,0.0031417,0.0031148,0.0031338,323754232.118549
1638507600000,0.0031326,0.0031432,0.0031209,0.0031401,277023227.257777
1638511200000,0.0031411,0.0031538,0.0031356,0.0031528,194327716.544104
1638514800000,0.0031543,0.0031556,0.0031348,0.0031407,231849426.094239
1638518400000,0.0031414,0.0031433,0.003126,0.0031345,1831245194.252695
1638522000000,0.0031345,0.0031571,0.0031308,0.0031561,2255197484.819855
1638525600000,0.0031568,0.0031766,0.0031494,0.0031528,3808507608.842747
1638529200000,0.0031529,0.0031679,0.0031507,0.0031523,1217977909.268133
1638532800000,0.0031523,0.0031624,0.0031441,0.0031513,248937918.282306
1638536400000,0.0031512,0.0031874,0.0031486,0.0031669,4561551892.3339
1638540000000,0.0031666,0.0031678,0.0031074,0.0031167,11136588593.081253
1638543600000,0.003117,0.0031296,0.0030928,0.0030981,17611604811.84757
1638547200000,0.0030978,0.0030978,0.0030068,0.0030364,13689945377.48464
1638550800000,0.0030361,0.0030567,0.003018,0.0030388,17847133731.121124
1638554400000,0.0030385,0.003058,0.003024,0.0030401,6613026388.841714
1638558000000,0.0030414,0.0030448,0.0029936,0.0029975,1735924638.408456
1638561600000,0.0029955,0.0030035,0.0028679,0.0029749,1796809696.505252
1638565200000,0.0029745,0.003001,0.0029712,0.0029845,441601648.98853
1638568800000,0.0029816,0.002987,0.00295,0.0029522,573429540.704736
1638572400000,0.0029524,0.0029812,0.002952,0.0029618,506641811.334584
1638576000000,0.0029619,0.0029661,0.0028811,0.0028912,595603519.764445
1638579600000,0.0028886,0.0028976,0.0028538,0.002892,11689157153.449585
1638583200000,0.0028921,0.0029065,0.002873,0.0028959,1367543073.437628
1638586800000,0.0028959,0.0028966,0.0027874,0.0027875,14159089278.45283
1638590400000,0.0027874,0.0028406,0.0025322,0.0026225,13965506511.176413
1638594000000,0.0026225,0.0026628,0.0019596,0.0023037,16113648157.902565
1638597600000,0.0023022,0.0024397,0.0022863,0.0024113,11031011473.22988
1638601200000,0.0024123,0.0024419,0.0023536,0.0024376,9697668242.599398
1638604800000,0.0024386,0.0024722,0.0024029,0.0024485,13553380283.593723
1638608400000,0.0024487,0.0024759,0.002438,0.0024574,6517834372.968513
1638612000000,0.0024574,0.0024574,0.0024001,0.0024464,893364117.264918
1638615600000,0.002446,0.0024507,0.0023736,0.0024136,2975516414.094812
1638619200000,0.002413,0.0024687,0.002413,0.0024345,10079783020.063421
1638622800000,0.0024355,0.0024794,0.0024091,0.0024774,2533349729.419797
1638626400000,0.0024772,0.0025183,0.002466,0.0025158,869616419.972904
1638630000000,0.0025153,0.0025638,0.002512,0.002547,904041125.523043
1638633600000,0.0025446,0.0025678,0.0025157,0.0025207,639305850.818432
1638637200000,0.0025224,0.0025548,0.0025184,0.0025482,491836747.523556
1638640800000,0.0025479,0.0025721,0.0025394,0.0025698,589162626.834306
1638644400000,0.0025698,0.0025958,0.0025543,0.0025903,625155848.410464
1638648000000,0.002593,0.0025936,0.0025663,0.0025764,498066992.058539
1638651600000,0.0025773,0.0025799,0.002539,0.002552,598570487.263953
1638655200000,0.0025523,0.0025969,0.002549,0.0025969,539992124.991761
1638658800000,0.0025973,0.002614,0.0025723,0.0025993,549715949.101795
1638662400000,0.0025958,0.0026468,0.0025149,0.0025733,1112580792.063749
1638666000000,0.0025723,0.0026073,0.0025554,0.0025873,547360872.822517
1638669600000,0.0025876,0.0025885,0.0025601,0.0025709,160645900.241733
1638673200000,0.0025703,0.0026055,0.0025532,0.0025988,2084093678.628864
1638676800000,0.0025989,0.0026033,0.0025656,0.002572,10724030576.16584
1638680400000,0.0025715,0.0026063,0.0025682,0.0026046,23770772614.76352
1638684000000,0.0026046,0.0026084,0.0025936,0.0026018,16285896875.457808
1638687600000,0.0026018,0.002609,0.0025796,0.0025927,14027870490.592915
1638691200000,0.0025922,0.0026061,0.002578,0.0025997,17110358890.658907
1638694800000,0.0025996,0.0025996,0.0025385,0.0025445,14781907508.665468
1638698400000,0.0025445,0.0025805,0.0025407,0.0025646,6538703418.631101
1638702000000,0.0025641,0.0025805,0.0025445,0.0025574,525433375.235793
1638705600000,0.002556,0.0025881,0.0025406,0.0025724,409101450.631451
1638709200000,0.0025726,0.0025734,0.0025505,0.0025599,7947277728.980525
1638712800000,0.0025594,0.0025632,0.0024816,0.0024902,16536117767.130827
1638716400000,0.0024894,0.0025246,0.0023805,0.0024236,17982501812.568447
1638720000000,0.0024237,0.0024746,0.0024108,0.0024413,1122165259.050278
1638723600000,0.0024407,0.0024853,0.0024271,0.0024754,573922260.688514
1638727200000,0.0024733,0.0024802,0.0024535,0.0024578,461033697.06196
1638730800000,0.0024586,0.0024631,0.0024135,0.0024537,1011808842.847851
1638734400000,0.002454,0.0024746,0.0024324,0.0024584,592703680.097602
1638738000000,0.0024549,0.0024687,0.0024053,0.002455,636720748.430823
1638741600000,0.0024586,0.0024625,0.0024275,0.0024615,720137069.265139
1638745200000,0.0024613,0.0024838,0.0024425,0.0024635,439537724.837681
1638748800000,0.0024647,0.0024667,0.0023826,0.0024078,12856798387.269638
